year,temperature
1880,287.0
1881,287.08
1882,287.06
1883,286.99
1884,286.88
1885,286.83
1886,286.85
1887,286.81
1888,286.99
1889,287.06
1890,286.81
1891,286.93
1892,286.88998
1893,286.84
1894,286.86
1895,286.93
1896,287.05
1897,287.05
1898,286.88998
1899,286.97998
1900,287.08
1901,287.0
1902,286.88
1903,286.79
1904,286.69
1905,286.88998
1906,286.94
1907,286.77
1908,286.72998
1909,286.66998
1910,286.72998
1911,286.72
1912,286.8
1913,286.81
1914,287.0
1915,287.00998
1916,286.8
1917,286.69998
1918,286.86
1919,286.88
1920,286.88
1921,286.96
1922,286.87
1923,286.88998
1924,286.88
1925,286.93
1926,287.05
1927,286.93
1928,286.94998
1929,286.79
1930,286.99
1931,287.06
1932,286.99
1933,286.86
1934,287.02
1935,286.94998
1936,287.0
1937,287.12
1938,287.15
1939,287.13
1940,287.28
1941,287.34
1942,287.22
1943,287.24
1944,287.35
1945,287.24
1946,287.08
1947,287.12
1948,287.04
1949,287.04
1950,286.97998
1951,287.08
1952,287.16
1953,287.22998
1954,287.02
1955,287.00998
1956,286.96
1957,287.19998
1958,287.21
1959,287.18
1960,287.12
1961,287.21
1962,287.18
1963,287.19998
1964,286.94998
1965,287.04
1966,287.09
1967,287.13
1968,287.07
1969,287.19998
1970,287.18
1971,287.07
1972,287.16
1973,287.31
1974,287.08
1975,287.13998
1976,287.05
1977,287.33
1978,287.22
1979,287.31
1980,287.41
1981,287.47
1982,287.29
1983,287.46
1984,287.31
1985,287.27
1986,287.33
1987,287.47
1988,287.54
1989,287.41998
1990,287.6
1991,287.56
1992,287.37
1993,287.38
1994,287.47
1995,287.6
1996,287.47998
1997,287.61
1998,287.75998
1999,287.54
2000,287.55
2001,287.69
2002,287.78
2003,287.77
2004,287.69
2005,287.83
2006,287.79
2007,287.82
2008,287.69998
2009,287.81
2010,287.88
2011,287.75998
