year,emmission
1880,10221.457
1881,9821.17
1882,9435.783
1883,9065.297
1884,8709.715
1885,8369.031
1886,8043.25
1887,7732.369
1888,7436.3906
1889,7155.3125
1890,6889.1367
1891,6637.8613
1892,6401.4863
1893,6180.0156
1894,5973.4434
1895,5781.7734
1896,5605.004
1897,5443.1367
1898,5296.17
1899,5164.1055
1900,5046.9414
1901,4944.6797
1902,4857.3164
1903,4784.8574
1904,4727.299
1905,4684.6426
1906,4656.885
1907,4644.0312
1908,4646.078
1909,4663.0254
1910,4694.873
1911,4741.625
1912,4803.2754
1913,4879.828
1914,4971.2812
1915,5077.6367
1916,5198.8926
1917,5335.051
1918,5486.1113
1919,5652.0703
1920,5832.9336
1921,6028.6934
1922,6239.3594
1923,6464.924
1924,6705.3906
1925,6960.76
1926,7231.0273
1927,7516.199
1928,7816.2695
1929,8131.244
1930,8461.117
1931,8805.895
1932,9165.57
1933,9540.148
1934,9929.627
1935,10334.009
1936,10753.29
1937,11187.473
1938,11636.557
1939,12100.543
1940,12579.429
1941,13073.217
1942,13581.908
1943,14105.499
1944,14643.99
1945,15197.383
1946,15765.678
1947,16348.875
1948,16946.969
1949,17559.969
1950,18187.871
1951,18830.668
1952,19488.371
1953,20160.975
1954,20848.479
1955,21550.887
1956,22268.193
1957,23000.402
1958,23747.512
1959,24509.521
1960,25286.434
1961,26078.246
1962,26884.96
1963,27706.578
1964,28543.094
1965,29394.516
1966,30260.836
1967,31142.053
1968,32038.176
1969,32949.203
1970,33875.125
1971,34815.953
1972,35771.68
1973,36742.305
1974,37727.84
1975,38728.27
1976,39743.598
1977,40773.84
1978,41818.973
1979,42879.008
1980,43953.95
1981,45043.78
1982,46148.523
1983,47268.164
1984,48402.71
1985,49552.15
1986,50716.496
1987,51895.742
1988,53089.887
1989,54298.938
1990,55522.89
1991,56761.746
1992,58015.492
1993,59284.14
1994,60567.71
1995,61866.164
1996,63179.516
1997,64507.79
1998,65850.94
1999,67208.99
2000,68581.97
2001,69969.82
2002,71372.586
2003,72790.26
2004,74222.82
2005,75670.29
2006,77132.664
2007,78609.94
2008,80102.1
2009,81609.19
2010,83131.164
2011,84668.03
