year,level
1880,298.8423
1881,298.89142
1882,298.9422
1883,298.99463
1884,299.04877
1885,299.10468
1886,299.1624
1887,299.22205
1888,299.28363
1889,299.34723
1890,299.41293
1891,299.48077
1892,299.55084
1893,299.6232
1894,299.6979
1895,299.7751
1896,299.8548
1897,299.9371
1898,300.02213
1899,300.10992
1900,300.2006
1901,300.29422
1902,300.39093
1903,300.4908
1904,300.59396
1905,300.7005
1906,300.81052
1907,300.92413
1908,301.04147
1909,301.16266
1910,301.28784
1911,301.41708
1912,301.55057
1913,301.68845
1914,301.8308
1915,301.97787
1916,302.12973
1917,302.28656
1918,302.44855
1919,302.6158
1920,302.78857
1921,302.96698
1922,303.15125
1923,303.34155
1924,303.5381
1925,303.74106
1926,303.95065
1927,304.16714
1928,304.39072
1929,304.6216
1930,304.86008
1931,305.10635
1932,305.3607
1933,305.62338
1934,305.89465
1935,306.1748
1936,306.46414
1937,306.76297
1938,307.07156
1939,307.3903
1940,307.71945
1941,308.0594
1942,308.41046
1943,308.77304
1944,309.1475
1945,309.5342
1946,309.9336
1947,310.34607
1948,310.77203
1949,311.21198
1950,311.66632
1951,312.13553
1952,312.62012
1953,313.1206
1954,313.63745
1955,314.17126
1956,314.72253
1957,315.29187
1958,315.87985
1959,316.48712
1960,317.11426
1961,317.76193
1962,318.43085
1963,319.12164
1964,319.83508
1965,320.5719
1966,321.33286
1967,322.1187
1968,322.93033
1969,323.76855
1970,324.63422
1971,325.52823
1972,326.4515
1973,327.40506
1974,328.38986
1975,329.4069
1976,330.45724
1977,331.542
1978,332.6623
1979,333.81927
1980,335.0142
1981,336.2482
1982,337.52267
1983,338.83887
1984,340.19818
1985,341.60205
1986,343.05188
1987,344.5492
1988,346.09558
1989,347.6926
1990,349.34195
1991,351.04532
1992,352.80447
1993,354.62128
1994,356.49756
1995,358.43533
1996,360.43658
1997,362.5034
1998,364.63788
1999,366.8423
2000,369.11893
2001,371.47012
2002,373.89835
2003,376.40613
2004,378.99603
2005,381.67078
2006,384.43314
2007,387.286
2008,390.2323
2009,393.27512
2010,396.4176
2011,399.66302
