year,emmissions
1880,2350.05296
1881,2424.692304
1882,2547.044256
1883,2703.522704
1884,2724.29392
1885,2741.859136
1886,2773.8312
1887,2907.285072
1888,3186.56248
1889,3222.641888
1890,3474.794704
1891,3627.792352
1892,3623.739968
1893,3565.039024
1894,3734.803136
1895,3926.37904
1896,4069.45824
1897,4260.48088
1898,4472.289392
1899,4851.964064
1900,5108.103312
1901,5239.882736
1902,5351.425888
1903,5785.41936
1904,5861.179888
1905,6207.230032
1906,6496.920528
1907,7317.678512
1908,7131.657232
1909,7345.491936
1910,7666.381392
1911,7830.667824
1912,8182.888144
1913,8861.248432
1914,8027.175472
1915,7855.300896
1916,8436.935248
1917,8758.473232
1918,8591.904128
1919,7463.978368
1920,8686.021296
1921,7706.117472
1922,8133.409488
1923,8964.349728
1924,9183.050224
1925,9217.074128
1926,8866.213152
1927,9890.542976
1928,9919.946576
1929,10666.046896
1930,9857.896736
1931,8825.64168
1932,7994.679456
1933,8381.71144
1934,9115.247904
1935,9558.31344
1936,10411.010512
1937,11208.344544
1938,10682.311392
1939,11227.866336
1940,12130.566016
1941,12356.80336
1942,12401.342944
1943,12776.045568
1944,12502.762464
1945,9951.108896
1946,11047.634176
1947,12188.600112
1948,12815.631424
1949,12391.314576
1950,13446.487952
1951,14529.049728
1952,14732.914688
1953,15132.404272
1954,15525.72368
1955,16948.469536
1956,18037.751088
1957,18624.987696
1958,19130.154368
1959,23070.359448760002
1960,24247.685902980003
1961,24566.60221145
1962,25660.71048195
1963,27146.952806030007
1964,28702.32334895001
1965,29988.950026629995
1966,31414.25131616999
1967,32488.390505619995
1968,34217.171616089996
1969,36324.28310930999
1970,38984.0439695
1971,40554.92023196999
1972,42191.29749067999
1973,44515.52615696
1974,44684.303014810015
1975,44530.94717176
1976,47126.90054819001
1977,48465.79697016
1978,49246.41017287
1979,51750.514680860004
1980,51454.26652749002
1981,49938.20094724
1982,49599.77215424001
1983,49490.82444221999
1984,51095.729286569986
1985,52724.197442739984
1986,54062.996749610014
1987,55432.7956569
1988,57362.01694553
1989,58477.796058169995
1990,58561.10947442001
1991,58968.859461569984
1992,57830.69757562
1993,57664.54408123001
1994,58251.83345013001
1995,59308.76678118999
1996,60592.01597228001
1997,61346.687788339994
1998,61455.46057233
1999,61501.46178411001
2000,63142.083490629986
2001,64545.19819037998
2002,65385.06170650997
2003,68598.88367444
2004,71609.39574025996
2005,73924.91189835002
2006,76316.78061603999
2007,77697.42550238999
2008,79909.47993998001
2009,78673.01490757996
2010,82381.09186037001
2011,85243.60993775002
